source,target,weight
Guanyao Li,Chun-Jie Chen,1
Guanyao Li,Sheng-Yun Huang,1
Guanyao Li,Ai-Jou Chou,1
Guanyao Li,Xiaochuan Gou,1
Guanyao Li,Wen-Chih Peng,1
Guanyao Li,Chih-Wei Yi,1
Chun-Jie Chen,Sheng-Yun Huang,1
Chun-Jie Chen,Ai-Jou Chou,1
Chun-Jie Chen,Xiaochuan Gou,1
Chun-Jie Chen,Wen-Chih Peng,1
Chun-Jie Chen,Chih-Wei Yi,1
Sheng-Yun Huang,Ai-Jou Chou,1
Sheng-Yun Huang,Xiaochuan Gou,1
Sheng-Yun Huang,Wen-Chih Peng,1
Sheng-Yun Huang,Chih-Wei Yi,1
Ai-Jou Chou,Xiaochuan Gou,1
Ai-Jou Chou,Wen-Chih Peng,1
Ai-Jou Chou,Chih-Wei Yi,1
Xiaochuan Gou,Wen-Chih Peng,1
Xiaochuan Gou,Chih-Wei Yi,1
Wen-Chih Peng,Chih-Wei Yi,1
Wen-Chih Peng,Wen-Yuan Zhu,1
Wen-Chih Peng,Wen-Yueh Shih,1
Wen-Chih Peng,Ying-Hsuan Lee,1
Wen-Chih Peng,Jiun-Long Huang,1
Amir Pouran Ben Veyseh,Javid Ebrahimi,1
Amir Pouran Ben Veyseh,Dejing Dou,1
Amir Pouran Ben Veyseh,Daniel Lowd,1
Javid Ebrahimi,Dejing Dou,1
Javid Ebrahimi,Daniel Lowd,1
Dejing Dou,Daniel Lowd,1
Theodore Vasiloudis,Foteini Beligianni,1
Theodore Vasiloudis,Gianmarco De Francisci Morales,1
Foteini Beligianni,Gianmarco De Francisci Morales,1
Gianmarco De Francisci Morales,Muhammad Anis Uddin Nasir,1
Gianmarco De Francisci Morales,Sarunas Girdzijauskas,1
Gianmarco De Francisci Morales,Kiran Garimella,1
Gianmarco De Francisci Morales,Aristides Gionis,2
Gianmarco De Francisci Morales,Michael Mathioudakis,1
Shen Liu,Hongyan Liu,1
Chenhao Xie 0002,Lihan Chen,1
Chenhao Xie 0002,Jiaqing Liang,1
Chenhao Xie 0002,Kezun Zhang,1
Chenhao Xie 0002,Yanghua Xiao,1
Chenhao Xie 0002,Hanghang Tong,1
Chenhao Xie 0002,Haixun Wang,1
Chenhao Xie 0002,Wei Wang 0009,1
Lihan Chen,Jiaqing Liang,1
Lihan Chen,Kezun Zhang,1
Lihan Chen,Yanghua Xiao,1
Lihan Chen,Hanghang Tong,1
Lihan Chen,Haixun Wang,1
Lihan Chen,Wei Wang 0009,1
Jiaqing Liang,Kezun Zhang,1
Jiaqing Liang,Yanghua Xiao,1
Jiaqing Liang,Hanghang Tong,1
Jiaqing Liang,Haixun Wang,1
Jiaqing Liang,Wei Wang 0009,1
Kezun Zhang,Yanghua Xiao,1
Kezun Zhang,Hanghang Tong,1
Kezun Zhang,Haixun Wang,1
Kezun Zhang,Wei Wang 0009,1
Yanghua Xiao,Hanghang Tong,1
Yanghua Xiao,Haixun Wang,1
Yanghua Xiao,Wei Wang 0009,1
Hanghang Tong,Haixun Wang,1
Hanghang Tong,Wei Wang 0009,1
Hanghang Tong,Scott Freitas,1
Hanghang Tong,Yinglong Xia,1
Hanghang Tong,Boxin Du,1
Hanghang Tong,Liangyue Li,1
Hanghang Tong,Yong Wang 0021,1
Hanghang Tong,Conglei Shi,1
Hanghang Tong,Nan Cao,3
Hanghang Tong,Norbou Buchler,1
Hanghang Tong,Jingwei Xu 0001,1
Hanghang Tong,Xianping Tao,1
Hanghang Tong,Jian Lu 0001,1
Hanghang Tong,Dawei Zhou,1
Hanghang Tong,Si Zhang,2
Hanghang Tong,Mehmet Yigit Yildirim,1
Hanghang Tong,Scott Alcorn,1
Hanghang Tong,Hasan Davulcu,1
Hanghang Tong,Jingrui He,1
Hanghang Tong,Xing Su 0002,1
Hanghang Tong,Yuan Yao 0001,2
Hanghang Tong,Qing He,1
Hanghang Tong,Jie Lu,1
Haixun Wang,Wei Wang 0009,1
Rupesh Gupta,Guanfeng Liang,1
Rupesh Gupta,Rómer Rosales,1
Guanfeng Liang,Rómer Rosales,1
Quan Yuan 0001,Jingbo Shang,1
Quan Yuan 0001,Xin Cao 0001,1
Quan Yuan 0001,Xinhe Geng,1
Quan Yuan 0001,Mengxiong Liu,1
Quan Yuan 0001,Zhengchao Liu,1
Quan Yuan 0001,Keyang Zhang,2
Quan Yuan 0001,Haoruo Peng,1
Quan Yuan 0001,Yu Zheng 0004,1
Quan Yuan 0001,Shaowen Wang,1
Quan Yuan 0001,Liyuan Liu,1
Quan Yuan 0001,Dongming Lei,1
Quan Yuan 0001,Honglei Zhuang,1
Quan Yuan 0001,Tim Hanratty,3
Quan Yuan 0001,Carl Yang,1
Quan Yuan 0001,Lanxiao Bai,1
Quan Yuan 0001,Chao Zhang 0014,5
Quan Yuan 0001,Jiawei Han 0001,5
Jingbo Shang,Xin Cao 0001,1
Jingbo Shang,Chao Zhang 0014,1
Jingbo Shang,Xinhe Geng,1
Jingbo Shang,Meng Qu,1
Jingbo Shang,Jian Tang 0005,1
Jingbo Shang,Ming Zhang 0004,1
Jingbo Shang,Meng Jiang 0001,1
